investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV002796,2024-01-06,101207,Lumpsum,115644,Telangana,Hyderabad,T30,36-45,Male,48.8,UPI,Pending
INV001304,2024-01-06,125497,Sip,5514,Gujarat,Ahmedabad,T30,26-35,Male,21.8,Cheque,Pending
INV001283,2024-01-06,119599,Lumpsum,33527,Telangana,Hyderabad,T30,18-25,Male,4.6,Cheque,Pending
INV002776,2024-01-06,101207,Sip,989,Tamil Nadu,Coimbatore,B30,18-25,Male,5.8,Net Banking,Pending
INV000783,2024-01-06,148569,Lumpsum,60606,Gujarat,Ahmedabad,T30,46-55,Male,92.0,Cheque,Pending
INV000126,2024-01-06,101207,Lumpsum,151709,Maharashtra,Mumbai,T30,26-35,Male,19.4,Mandate,Pending
INV000960,2024-01-06,120507,Sip,12641,West Bengal,Kolkata,T30,46-55,Male,90.6,Cheque,Pending
INV000104,2024-01-06,149322,Sip,29462,Madhya Pradesh,Indore,T30,26-35,Male,8.1,Cheque,Pending
INV001476,2024-01-07,119092,Sip,10756,Rajasthan,Jaipur,T30,36-45,Male,38.1,Cheque,Pending
INV003279,2024-01-07,119120,Sip,14432,Rajasthan,Jaipur,T30,46-55,Female,19.4,Net Banking,Pending
INV001696,2024-01-08,120507,Sip,2285,West Bengal,Kolkata,T30,56+,Female,55.8,Net Banking,Pending
INV003342,2024-01-08,119552,Redemption,189489,Tamil Nadu,Chennai,T30,56+,Male,32.8,UPI,Pending
INV001011,2024-01-08,100033,Sip,2227,Madhya Pradesh,Bhopal,B30,26-35,Male,14.4,Net Banking,Pending
INV004672,2024-01-09,102886,Lumpsum,443932,Rajasthan,Jaipur,T30,26-35,Male,23.9,Cheque,Pending
INV000313,2024-01-09,119093,Lumpsum,92005,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Mandate,Pending
INV001480,2024-01-09,148567,Sip,12372,West Bengal,Kolkata,T30,18-25,Male,3.1,Net Banking,Pending
INV001228,2024-01-09,118632,Redemption,199032,Karnataka,Bangalore,T30,36-45,Female,29.8,Mandate,Pending
INV001778,2024-01-10,120843,Sip,13966,Maharashtra,Mumbai,T30,26-35,Male,9.7,Mandate,Pending
INV003801,2024-01-10,125497,Sip,8589,Punjab,Chandigarh,T30,26-35,Male,17.8,UPI,Pending
INV002416,2024-01-10,148569,Redemption,238540,Telangana,Hyderabad,T30,26-35,Female,15.2,Mandate,Pending
INV004514,2024-01-10,102885,Sip,1657,Haryana,Faridabad,B30,46-55,Male,40.1,Cheque,Pending
INV004339,2024-01-10,101208,Sip,3544,Uttar Pradesh,Lucknow,T30,26-35,Female,7.3,Net Banking,Pending
INV001333,2024-01-10,148569,Lumpsum,78411,Haryana,Faridabad,B30,26-35,Female,19.0,Cheque,Pending
INV003964,2024-01-10,148567,Sip,43989,Punjab,Chandigarh,T30,26-35,Male,16.7,Cheque,Pending
INV000989,2024-01-11,120843,Sip,14264,Gujarat,Surat,T30,36-45,Male,16.1,UPI,Pending
INV004223,2024-01-11,148569,Sip,412,Uttar Pradesh,Agra,B30,36-45,Female,49.3,Net Banking,Pending
INV003423,2024-01-11,149324,Sip,6139,Delhi,Noida,T30,18-25,Female,3.2,Net Banking,Pending
INV002594,2024-01-11,102887,Redemption,346681,Haryana,Gurugram,T30,26-35,Male,23.7,Net Banking,Pending
INV002716,2024-01-12,119092,Sip,2347,Tamil Nadu,Chennai,T30,56+,Female,47.4,Mandate,Pending
INV002045,2024-01-12,118632,Redemption,118396,Rajasthan,Jaipur,T30,18-25,Female,3.8,Net Banking,Pending
INV000895,2024-01-12,149324,Lumpsum,441094,Rajasthan,Udaipur,B30,26-35,Male,19.5,UPI,Pending
INV003222,2024-01-12,120842,Sip,3343,Punjab,Amritsar,B30,56+,Female,11.7,Cheque,Pending
INV003670,2024-01-13,119551,Sip,47799,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,Pending
INV002080,2024-01-13,148569,Sip,55735,Tamil Nadu,Coimbatore,B30,26-35,Male,21.3,Cheque,Pending
INV000082,2024-01-13,120504,Sip,3380,Rajasthan,Udaipur,B30,26-35,Female,19.6,UPI,Pending
INV003620,2024-01-14,125497,Sip,2718,Uttar Pradesh,Kanpur,B30,36-45,Female,15.7,Net Banking,Pending
INV004961,2024-01-14,119092,Sip,5075,West Bengal,Kolkata,T30,36-45,Male,15.0,Mandate,Pending
INV003946,2024-01-14,120504,Sip,10932,Karnataka,Mysore,B30,26-35,Female,9.2,UPI,Pending
INV002714,2024-01-14,120503,Lumpsum,237833,West Bengal,Kolkata,T30,46-55,Male,65.7,Mandate,Pending
INV001557,2024-01-15,119120,Lumpsum,11887,Haryana,Gurugram,T30,26-35,Female,10.5,UPI,Pending
INV004467,2024-01-15,120505,Sip,9943,Tamil Nadu,Chennai,T30,46-55,Male,52.4,Cheque,Pending
INV004151,2024-01-15,120506,Lumpsum,417730,Karnataka,Mysore,B30,26-35,Male,21.6,Mandate,Pending
INV003688,2024-01-15,118633,Lumpsum,18336,Telangana,Hyderabad,T30,56+,Male,12.1,Cheque,Pending
INV000405,2024-01-15,120504,Sip,2197,Karnataka,Mysore,B30,56+,Female,8.6,UPI,Pending
INV003912,2024-01-15,148568,Sip,5222,West Bengal,Kolkata,T30,26-35,Male,8.5,Mandate,Pending
INV004490,2024-01-16,120505,Sip,8074,Madhya Pradesh,Indore,T30,18-25,Female,3.9,UPI,Pending
INV004467,2024-01-16,119095,Redemption,353750,Tamil Nadu,Chennai,T30,46-55,Male,52.4,UPI,Pending
INV002420,2024-01-16,119095,Lumpsum,232210,Karnataka,Mysore,B30,26-35,Female,6.4,Mandate,Pending
INV002143,2024-01-16,119120,Lumpsum,97403,Uttar Pradesh,Lucknow,T30,26-35,Male,11.8,UPI,Pending
INV001198,2024-01-16,120844,Redemption,481961,Maharashtra,Mumbai,T30,26-35,Female,20.4,Mandate,Pending
INV003077,2024-01-16,119120,Redemption,158057,Tamil Nadu,Coimbatore,B30,18-25,Female,4.6,Net Banking,Pending
INV004231,2024-01-17,119092,Redemption,402802,West Bengal,Kolkata,T30,56+,Male,17.5,UPI,Pending
INV004677,2024-01-18,118634,Sip,44380,Punjab,Amritsar,B30,26-35,Male,6.2,Net Banking,Pending
INV004391,2024-01-18,118636,Sip,13159,Maharashtra,Mumbai,T30,26-35,Female,23.3,Net Banking,Pending
INV001251,2024-01-18,119120,Redemption,117286,Punjab,Chandigarh,T30,26-35,Female,11.7,Cheque,Pending
INV004916,2024-01-18,125498,Sip,27811,Haryana,Faridabad,B30,26-35,Male,12.5,Cheque,Pending
INV002870,2024-01-18,148568,Sip,16953,Karnataka,Mysore,B30,26-35,Female,23.7,UPI,Pending
INV003421,2024-01-18,100025,Lumpsum,284946,Telangana,Hyderabad,T30,26-35,Male,12.4,Net Banking,Pending
INV003398,2024-01-18,102887,Redemption,340063,Karnataka,Bangalore,T30,36-45,Male,42.0,Mandate,Pending
INV003838,2024-01-19,119092,Redemption,432267,Gujarat,Surat,T30,18-25,Female,5.1,Mandate,Pending
INV003021,2024-01-19,125497,Sip,1972,Telangana,Hyderabad,T30,56+,Female,65.0,Net Banking,Pending
INV001060,2024-01-19,120843,Sip,6191,Telangana,Hyderabad,T30,36-45,Male,29.0,UPI,Pending
INV004408,2024-01-19,101208,Sip,420,Punjab,Amritsar,B30,26-35,Male,23.5,Cheque,Pending
INV001428,2024-01-19,119552,Lumpsum,311248,Delhi,New Delhi,T30,26-35,Male,17.8,Cheque,Pending
INV003383,2024-01-19,119094,Sip,11765,Karnataka,Mysore,B30,18-25,Male,4.6,Mandate,Pending
INV002706,2024-01-20,119092,Lumpsum,337669,Haryana,Faridabad,B30,46-55,Female,22.8,Net Banking,Pending
INV004737,2024-01-20,118634,Sip,5179,Madhya Pradesh,Indore,T30,46-55,Male,98.4,Cheque,Pending
INV000422,2024-01-20,118636,Sip,4429,Punjab,Amritsar,B30,46-55,Male,94.1,UPI,Pending
INV003328,2024-01-20,119120,Lumpsum,303017,Karnataka,Mysore,B30,26-35,Female,14.2,Cheque,Pending
INV002697,2024-01-20,149323,Sip,511,West Bengal,Kolkata,T30,26-35,Male,14.1,Cheque,Pending
INV001899,2024-01-20,120506,Sip,578,Gujarat,Ahmedabad,T30,26-35,Male,7.6,Mandate,Pending
INV002996,2024-01-20,120507,Lumpsum,427873,Madhya Pradesh,Bhopal,B30,26-35,Male,20.7,Net Banking,Pending
INV002826,2024-01-20,119095,Sip,543,Haryana,Gurugram,T30,26-35,Male,20.5,Mandate,Pending
INV004096,2024-01-20,149323,Sip,25101,Tamil Nadu,Coimbatore,B30,36-45,Male,57.1,Cheque,Pending
INV000074,2024-01-20,120504,Sip,7798,Rajasthan,Jaipur,T30,26-35,Female,8.4,Mandate,Pending
INV000371,2024-01-21,119120,Sip,5416,Uttar Pradesh,Agra,B30,26-35,Male,14.6,Cheque,Pending
INV003288,2024-01-21,102886,Sip,45897,Punjab,Chandigarh,T30,56+,Male,57.9,Cheque,Pending
INV003962,2024-01-21,118635,Sip,26088,Haryana,Gurugram,T30,26-35,Male,20.4,Cheque,Pending
INV003042,2024-01-21,119599,Redemption,478639,Tamil Nadu,Coimbatore,B30,46-55,Male,23.5,Net Banking,Pending
INV002257,2024-01-21,125498,Redemption,199340,West Bengal,Kolkata,T30,26-35,Male,9.8,Net Banking,Pending
INV004065,2024-01-21,149324,Sip,45064,Tamil Nadu,Chennai,T30,26-35,Male,6.1,UPI,Pending
INV002509,2024-01-22,100033,Redemption,229514,Maharashtra,Mumbai,T30,36-45,Female,19.9,Net Banking,Pending
INV000811,2024-01-22,120503,Sip,15579,Haryana,Faridabad,B30,36-45,Female,34.5,Cheque,Pending
INV002399,2024-01-22,102885,Redemption,157245,Gujarat,Ahmedabad,T30,46-55,Female,34.7,Net Banking,Pending
INV002138,2024-01-22,101208,Sip,439,Karnataka,Bangalore,T30,46-55,Female,78.2,Mandate,Pending
INV003026,2024-01-22,149324,Lumpsum,311050,Madhya Pradesh,Bhopal,B30,36-45,Female,25.7,UPI,Pending
INV002622,2024-01-23,120506,Redemption,476484,Karnataka,Mysore,B30,18-25,Female,4.0,Net Banking,Pending
INV004140,2024-01-23,118636,Sip,563,Punjab,Amritsar,B30,46-55,Female,41.6,Cheque,Pending
INV004401,2024-01-23,148567,Sip,23254,Rajasthan,Udaipur,B30,26-35,Male,22.6,Net Banking,Pending
INV001473,2024-01-23,120844,Sip,41716,Delhi,Gurugram,T30,36-45,Male,29.1,UPI,Pending
INV002170,2024-01-23,118635,Sip,429,Delhi,New Delhi,T30,26-35,Female,14.7,Mandate,Pending
INV004174,2024-01-24,125498,Sip,2683,Rajasthan,Udaipur,B30,18-25,Male,4.7,Cheque,Pending
INV002671,2024-01-24,100025,Lumpsum,132637,Madhya Pradesh,Indore,T30,18-25,Male,6.3,Mandate,Pending
INV000523,2024-01-24,125498,Redemption,88006,West Bengal,Kolkata,T30,36-45,Male,13.1,UPI,Pending
INV002886,2024-01-24,118632,Sip,6246,Tamil Nadu,Chennai,T30,18-25,Female,7.1,Cheque,Pending
INV003125,2024-01-24,125498,Lumpsum,406866,Punjab,Chandigarh,T30,36-45,Female,30.8,Mandate,Pending
INV002111,2024-01-24,119093,Sip,2934,Telangana,Hyderabad,T30,36-45,Female,29.2,Net Banking,Pending
INV000445,2024-01-24,120842,Sip,7868,Madhya Pradesh,Bhopal,B30,26-35,Female,24.7,Cheque,Pending
INV004288,2024-01-25,120503,Sip,8266,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,Pending
INV003083,2024-01-25,119095,Sip,7405,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,UPI,Pending
INV002648,2024-01-26,120843,Lumpsum,280561,Punjab,Chandigarh,T30,36-45,Male,57.1,Net Banking,Pending
INV004807,2024-01-26,119120,Redemption,136162,Maharashtra,Mumbai,T30,36-45,Male,31.4,Mandate,Pending
INV001191,2024-01-26,148567,Sip,1047,Telangana,Hyderabad,T30,56+,Male,37.5,UPI,Pending
INV002327,2024-01-27,101207,Sip,8203,Punjab,Amritsar,B30,26-35,Male,7.0,UPI,Pending
INV000573,2024-01-27,100025,Sip,50371,Madhya Pradesh,Bhopal,B30,56+,Female,38.5,UPI,Pending
INV001188,2024-01-27,119598,Sip,9885,Delhi,New Delhi,T30,18-25,Male,7.9,UPI,Pending
INV004359,2024-01-28,118635,Lumpsum,275749,Delhi,New Delhi,T30,26-35,Male,9.4,UPI,Pending
INV002590,2024-01-28,120844,Sip,49252,West Bengal,Kolkata,T30,36-45,Male,45.1,UPI,Pending
INV003567,2024-01-28,101207,Sip,42618,Tamil Nadu,Chennai,T30,46-55,Male,76.1,UPI,Pending
INV004583,2024-01-28,125498,Redemption,77768,Maharashtra,Nashik,B30,26-35,Male,13.9,UPI,Pending
INV001361,2024-01-28,120843,Sip,2589,West Bengal,Kolkata,T30,26-35,Female,21.1,Cheque,Pending
INV002640,2024-01-29,119551,Sip,8411,Haryana,Faridabad,B30,56+,Female,50.5,Net Banking,Pending
INV001878,2024-01-29,100033,Lumpsum,322624,West Bengal,Kolkata,T30,26-35,Male,7.8,Mandate,Pending
INV004051,2024-01-29,119552,Lumpsum,283812,Rajasthan,Udaipur,B30,36-45,Female,28.8,Mandate,Pending
INV000779,2024-01-29,100016,Redemption,227885,Gujarat,Ahmedabad,T30,36-45,Male,35.3,Cheque,Pending
INV000354,2024-01-29,125498,Sip,8024,Telangana,Hyderabad,T30,26-35,Male,21.2,Cheque,Pending
INV001420,2024-01-29,120842,Lumpsum,422630,Rajasthan,Jaipur,T30,36-45,Male,32.2,UPI,Pending
INV004421,2024-01-29,100016,Sip,25091,Punjab,Amritsar,B30,26-35,Male,20.5,Net Banking,Pending
INV003859,2024-01-29,119599,Redemption,228465,Karnataka,Bangalore,T30,36-45,Male,28.5,Net Banking,Pending
INV000205,2024-01-29,120506,Sip,16529,Haryana,Faridabad,B30,18-25,Male,4.4,UPI,Pending
INV000344,2024-01-29,120844,Lumpsum,282293,Madhya Pradesh,Bhopal,B30,36-45,Male,56.7,Mandate,Pending
INV000480,2024-01-29,101208,Redemption,354793,Maharashtra,Mumbai,T30,18-25,Male,6.2,Mandate,Pending
INV004310,2024-01-29,119598,Sip,2849,Telangana,Hyderabad,T30,36-45,Male,18.3,Cheque,Pending
INV003150,2024-01-29,101208,Sip,5237,Gujarat,Ahmedabad,T30,26-35,Female,13.6,UPI,Pending
INV003925,2024-01-29,148569,Sip,444,Punjab,Amritsar,B30,26-35,Female,14.2,Cheque,Pending
INV004815,2024-01-30,119598,Sip,1693,Tamil Nadu,Coimbatore,B30,36-45,Male,44.4,Cheque,Pending
INV002926,2024-01-30,119093,Sip,5714,Telangana,Hyderabad,T30,26-35,Male,16.6,UPI,Pending
INV001318,2024-01-30,102885,Sip,27985,Telangana,Hyderabad,T30,36-45,Male,59.3,Cheque,Pending
INV003813,2024-01-30,149322,Sip,2211,Rajasthan,Udaipur,B30,36-45,Male,23.6,UPI,Pending
INV002555,2024-01-30,149324,Sip,22192,Gujarat,Ahmedabad,T30,36-45,Male,24.5,Net Banking,Pending
INV000466,2024-01-30,119598,Sip,10096,Haryana,Faridabad,B30,18-25,Male,4.4,Net Banking,Pending
INV003520,2024-01-31,148569,Sip,1646,Uttar Pradesh,Lucknow,T30,18-25,Male,4.5,Cheque,Pending
INV002369,2024-01-31,149323,Lumpsum,80267,Madhya Pradesh,Bhopal,B30,36-45,Male,33.6,Cheque,Pending
INV001060,2024-01-31,101207,Sip,5702,Telangana,Hyderabad,T30,36-45,Male,29.0,Cheque,Pending
INV003267,2024-01-31,148567,Sip,2768,Rajasthan,Udaipur,B30,36-45,Male,29.9,Cheque,Pending
INV002574,2024-01-31,119598,Sip,4100,Maharashtra,Nashik,B30,26-35,Male,11.1,Mandate,Pending
INV001507,2024-02-01,125498,Sip,1822,Uttar Pradesh,Lucknow,T30,26-35,Male,20.4,Cheque,Pending
INV003794,2024-02-01,120507,Lumpsum,451815,Gujarat,Ahmedabad,T30,26-35,Male,22.1,Cheque,Pending
INV001580,2024-02-01,102886,Lumpsum,154762,Punjab,Chandigarh,T30,26-35,Male,18.7,Mandate,Pending
INV000781,2024-02-01,101208,Sip,16267,Delhi,Gurugram,T30,26-35,Male,6.8,UPI,Pending
INV000652,2024-02-01,101207,Lumpsum,111379,Delhi,Gurugram,T30,26-35,Male,8.0,Cheque,Pending
INV002343,2024-02-02,119598,Sip,1612,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,Pending
INV002139,2024-02-02,149323,Lumpsum,436205,Haryana,Gurugram,T30,36-45,Female,28.6,Net Banking,Pending
INV004617,2024-02-02,119092,Sip,4686,Karnataka,Bangalore,T30,26-35,Male,22.1,Cheque,Pending
INV004128,2024-02-02,119094,Sip,46742,Haryana,Faridabad,B30,18-25,Male,3.3,Cheque,Pending
INV003228,2024-02-02,118632,Sip,2452,Madhya Pradesh,Bhopal,B30,26-35,Male,20.0,Net Banking,Pending
INV001001,2024-02-02,120503,Redemption,400385,Madhya Pradesh,Indore,T30,26-35,Female,20.7,Cheque,Pending
INV002130,2024-02-03,118635,Redemption,92351,Maharashtra,Pune,T30,46-55,Male,22.5,Cheque,Pending
INV001891,2024-02-03,102886,Sip,7442,West Bengal,Kolkata,T30,26-35,Male,22.2,Cheque,Pending
INV003517,2024-02-03,119552,Sip,5201,Gujarat,Ahmedabad,T30,26-35,Male,16.6,UPI,Pending
INV000825,2024-02-03,149323,Sip,11062,Madhya Pradesh,Bhopal,B30,18-25,Female,5.5,Cheque,Pending
INV004112,2024-02-03,148569,Sip,8494,Madhya Pradesh,Bhopal,B30,46-55,Male,30.0,Net Banking,Pending
INV002459,2024-02-03,119094,Sip,2795,Rajasthan,Udaipur,B30,18-25,Female,5.2,UPI,Pending
INV002762,2024-02-04,119552,Sip,13125,Rajasthan,Udaipur,B30,26-35,Female,21.9,UPI,Pending
INV003396,2024-02-04,118636,Sip,5743,Karnataka,Mysore,B30,26-35,Male,23.4,UPI,Pending
INV001087,2024-02-04,148568,Sip,7434,Rajasthan,Udaipur,B30,26-35,Female,20.6,Net Banking,Pending
INV002186,2024-02-05,120843,Sip,868,Haryana,Faridabad,B30,18-25,Female,7.9,UPI,Pending
INV002622,2024-02-05,119095,Lumpsum,41779,Karnataka,Mysore,B30,18-25,Female,4.0,UPI,Pending
INV003716,2024-02-05,120507,Sip,2086,Uttar Pradesh,Kanpur,B30,36-45,Male,37.7,Cheque,Pending
INV001485,2024-02-05,119552,Sip,2327,Rajasthan,Jaipur,T30,56+,Female,24.4,UPI,Pending
INV003907,2024-02-05,120842,Redemption,342434,Gujarat,Surat,T30,46-55,Male,62.6,Mandate,Pending
INV004181,2024-02-05,148568,Sip,54785,Uttar Pradesh,Lucknow,T30,26-35,Female,17.8,Cheque,Pending
INV003321,2024-02-06,101208,Sip,2948,Karnataka,Bangalore,T30,46-55,Male,22.5,Mandate,Pending
INV003844,2024-02-06,119552,Lumpsum,230863,Maharashtra,Nashik,B30,26-35,Female,15.9,Net Banking,Pending
INV002611,2024-02-06,120503,Lumpsum,322513,West Bengal,Kolkata,T30,26-35,Male,21.5,Mandate,Pending
INV001708,2024-02-06,120843,Sip,17226,Haryana,Faridabad,B30,18-25,Male,7.7,Mandate,Pending
INV000196,2024-02-06,119120,Lumpsum,349242,Tamil Nadu,Chennai,T30,26-35,Male,17.9,Mandate,Pending
INV002945,2024-02-07,120503,Lumpsum,299499,Maharashtra,Nashik,B30,26-35,Male,15.6,UPI,Pending
INV001029,2024-02-07,120843,Sip,24147,Uttar Pradesh,Kanpur,B30,36-45,Male,44.2,UPI,Pending
INV002459,2024-02-07,102887,Sip,1080,Rajasthan,Udaipur,B30,18-25,Female,5.2,Net Banking,Pending
INV002052,2024-02-08,148568,Sip,59607,Uttar Pradesh,Lucknow,T30,36-45,Male,50.8,Net Banking,Pending
INV003427,2024-02-08,119552,Sip,14346,West Bengal,Kolkata,T30,18-25,Male,4.4,Net Banking,Pending
INV003714,2024-02-08,118635,Lumpsum,378580,Punjab,Chandigarh,T30,46-55,Female,52.9,Net Banking,Pending
INV002956,2024-02-08,118632,Sip,1186,Gujarat,Surat,T30,36-45,Female,53.7,UPI,Pending
INV002974,2024-02-08,119095,Lumpsum,508060,Telangana,Hyderabad,T30,26-35,Female,21.9,UPI,Pending
INV004101,2024-02-09,118635,Sip,536,Telangana,Hyderabad,T30,46-55,Male,44.6,UPI,Pending
INV001557,2024-02-09,148568,Sip,2013,Haryana,Gurugram,T30,26-35,Female,10.5,UPI,Pending
INV003759,2024-02-09,120843,Redemption,242761,Haryana,Gurugram,T30,26-35,Male,6.1,Net Banking,Pending
INV003492,2024-02-10,118636,Sip,2609,Gujarat,Ahmedabad,T30,36-45,Male,35.2,Cheque,Pending
INV000343,2024-02-10,102886,Redemption,390881,Punjab,Chandigarh,T30,36-45,Male,28.5,Cheque,Pending
INV000280,2024-02-10,149324,Redemption,105293,Punjab,Amritsar,B30,26-35,Female,22.9,Cheque,Pending
INV002584,2024-02-10,148569,Redemption,449133,Tamil Nadu,Chennai,T30,36-45,Female,40.0,UPI,Pending
INV003267,2024-02-11,125498,Sip,2216,Rajasthan,Udaipur,B30,36-45,Male,29.9,Net Banking,Pending
INV004290,2024-02-12,120843,Sip,28249,Gujarat,Ahmedabad,T30,46-55,Male,41.9,UPI,Pending
INV004126,2024-02-12,120507,Sip,43495,Delhi,Noida,T30,26-35,Female,14.7,UPI,Pending
INV003079,2024-02-12,101206,Sip,6503,Gujarat,Surat,T30,26-35,Male,8.5,Mandate,Pending
INV004460,2024-02-12,119095,Sip,2911,Haryana,Gurugram,T30,26-35,Male,24.7,Net Banking,Pending
INV003593,2024-02-12,120507,Sip,41714,Karnataka,Bangalore,T30,26-35,Female,21.6,Net Banking,Pending
INV002284,2024-02-13,148569,Sip,23158,Karnataka,Bangalore,T30,36-45,Male,55.3,UPI,Pending
INV000271,2024-02-13,100033,Lumpsum,95023,Tamil Nadu,Coimbatore,B30,26-35,Female,6.4,UPI,Pending
INV000165,2024-02-13,148567,Lumpsum,159345,Punjab,Chandigarh,T30,36-45,Female,18.8,Cheque,Pending
INV002034,2024-02-13,101208,Sip,1966,Uttar Pradesh,Lucknow,T30,26-35,Male,10.0,UPI,Pending
INV004770,2024-02-14,102886,Sip,52023,Gujarat,Surat,T30,18-25,Female,5.2,UPI,Pending
INV001762,2024-02-14,148568,Lumpsum,516163,Punjab,Amritsar,B30,18-25,Female,7.5,Net Banking,Pending
INV000634,2024-02-15,118635,Sip,16929,Karnataka,Bangalore,T30,26-35,Female,22.7,Mandate,Pending
INV001618,2024-02-15,101208,Sip,812,Karnataka,Bangalore,T30,56+,Female,28.0,Net Banking,Pending
INV002515,2024-02-15,119093,Lumpsum,236742,West Bengal,Kolkata,T30,56+,Female,73.9,UPI,Pending
INV001470,2024-02-15,120506,Sip,53880,Haryana,Gurugram,T30,36-45,Male,26.2,Mandate,Pending
INV001579,2024-02-15,119093,Sip,43231,Karnataka,Bangalore,T30,46-55,Male,71.1,Net Banking,Pending
INV004357,2024-02-15,101208,Sip,2846,Delhi,Gurugram,T30,46-55,Female,55.6,Mandate,Pending
INV001358,2024-02-15,102887,Sip,3401,Rajasthan,Jaipur,T30,26-35,Male,14.8,Mandate,Pending
INV003878,2024-02-15,125497,Sip,10059,Haryana,Gurugram,T30,56+,Male,27.9,Mandate,Pending
INV004115,2024-02-15,120507,Sip,44316,Madhya Pradesh,Indore,T30,56+,Male,69.9,UPI,Pending
INV004128,2024-02-16,120843,Sip,3579,Haryana,Faridabad,B30,18-25,Male,3.3,Net Banking,Pending
INV004958,2024-02-16,148569,Sip,11908,Maharashtra,Mumbai,T30,36-45,Male,20.9,UPI,Pending
INV002013,2024-02-16,119095,Sip,1957,Rajasthan,Jaipur,T30,46-55,Male,30.2,Mandate,Pending
INV004381,2024-02-16,119120,Sip,7159,West Bengal,Kolkata,T30,46-55,Female,27.2,UPI,Pending
INV003563,2024-02-17,118636,Lumpsum,115187,Haryana,Gurugram,T30,46-55,Male,41.8,Net Banking,Pending
INV004751,2024-02-17,148568,Sip,25728,Maharashtra,Pune,T30,36-45,Female,15.6,Mandate,Pending
INV002876,2024-02-17,102885,Sip,2695,Uttar Pradesh,Kanpur,B30,36-45,Female,44.6,Net Banking,Pending
INV004409,2024-02-17,120503,Redemption,80706,Karnataka,Bangalore,T30,26-35,Female,7.2,UPI,Pending
INV001642,2024-02-17,119092,Sip,2024,Rajasthan,Jaipur,T30,56+,Female,20.5,UPI,Pending
INV001351,2024-02-17,100033,Sip,3450,Uttar Pradesh,Kanpur,B30,26-35,Male,8.5,Cheque,Pending
INV004246,2024-02-18,120842,Sip,972,West Bengal,Kolkata,T30,36-45,Female,12.2,Cheque,Pending
INV000296,2024-02-18,101206,Lumpsum,15076,Madhya Pradesh,Indore,T30,26-35,Male,16.7,Mandate,Pending
INV002128,2024-02-18,149323,Lumpsum,331450,Rajasthan,Udaipur,B30,26-35,Female,21.6,UPI,Pending
